Date,Time (ET),Matchup,Favorite,Win Prob.
2025-12-11,8:15PM,Atlanta Falcons at Tampa Bay Buccaneers,TB -7,72.81250996
2025-12-14,1:00PM,Baltimore Ravens at Cincinnati Bengals,BAL -1.5,56.13800747
2025-12-14,1:00PM,New York Jets at Jacksonville Jaguars,JAX -16,90.81240073
2025-12-14,1:00PM,Las Vegas Raiders at Philadelphia Eagles,PHI -14.5,88.77793393
2025-12-14,1:00PM,Arizona Cardinals at Houston Texans,HOU -11.5,84.1432736
2025-12-14,1:00PM,Los Angeles Chargers at Kansas City Chiefs,KC -7,73.58413307
2025-12-14,1:00PM,Cleveland Browns at Chicago Bears,CHI -8.5,76.99525219
2025-12-14,1:00PM,Washington Commanders at New York Giants,NYG -3.5,62.17153754
2025-12-14,1:00PM,Buffalo Bills at New England Patriots,BUF PK,50.42611479
2025-12-14,4:25PM,Indianapolis Colts at Seattle Seahawks,SEA -8.5,77.35482071
2025-12-14,4:25PM,Carolina Panthers at New Orleans Saints,CAR PK,50.398376
2025-12-14,4:25PM,Tennessee Titans at San Francisco 49ers,SF -14.5,88.99317047
2025-12-14,4:25PM,Detroit Lions at Los Angeles Rams,LAR -9.5,80.00293636
2025-12-14,4:25PM,Green Bay Packers at Denver Broncos,DEN -1,53.64135307
2025-12-14,8:20PM,Minnesota Vikings at Dallas Cowboys,DAL -3,59.87621652
2025-12-15,8:15PM,Miami Dolphins at Pittsburgh Steelers,PIT -4,64.68155683
